"wojewodztwo","liczba_przypadkow","liczba_na_10_tys_mieszkancow","zgony","zgony_w_wyniku_covid_bez_chorob_wspolistniejacych","zgony_w_wyniku_covid_i_chorob_wspolistniejacych","liczba_zlecen_poz","liczba_osob_objetych_kwarantanna","liczba_wykonanych_testow","liczba_testow_z_wynikiem_pozytywnym","liczba_testow_z_wynikiem_negatywnym","liczba_pozostalych_testow","teryt","stan_rekordu_na","name","Date","liczba_ozdrowiencow"
"zachodniopomorskie",945,5.58,26,0,26,1217,15488,3194,988,2113,93,"t32",2020-12-02,"20201203060000_rap_rcb_woj_eksport.csv",2020-12-03,NA
"Cały kraj",13230,3.45,531,110,421,17727,285534,56872,14757,40530,1585,"t00",2020-12-03,"20201204060000_rap_rcb_woj_eksport.csv",2020-12-04,NA
"dolnośląskie",828,2.86,42,6,36,1203,21559,4303,895,3316,92,"t02",2020-12-03,"20201204060000_rap_rcb_woj_eksport.csv",2020-12-04,NA
"kujawsko-pomorskie",1080,5.22,12,6,6,1578,20760,4551,1147,3236,168,"t04",2020-12-03,"20201204060000_rap_rcb_woj_eksport.csv",2020-12-04,NA
"lubelskie",716,3.4,34,9,25,962,15822,2480,797,1618,65,"t06",2020-12-03,"20201204060000_rap_rcb_woj_eksport.csv",2020-12-04,NA
"lubuskie",485,4.8,15,1,14,482,8927,1615,552,1035,28,"t08",2020-12-03,"20201204060000_rap_rcb_woj_eksport.csv",2020-12-04,NA
"łódzkie",918,3.75,48,13,35,1160,17827,3906,1018,2760,128,"t10",2020-12-03,"20201204060000_rap_rcb_woj_eksport.csv",2020-12-04,NA
"małopolskie",600,1.76,41,17,24,831,14283,4884,783,4009,92,"t12",2020-12-03,"20201204060000_rap_rcb_woj_eksport.csv",2020-12-04,NA
"mazowieckie",1649,3.04,85,9,76,2653,40986,9037,1927,6722,388,"t14",2020-12-03,"20201204060000_rap_rcb_woj_eksport.csv",2020-12-04,NA
"opolskie",448,4.57,14,2,12,424,8202,1346,486,833,27,"t16",2020-12-03,"20201204060000_rap_rcb_woj_eksport.csv",2020-12-04,NA
"podkarpackie",322,1.51,29,7,22,466,9567,1779,411,1354,14,"t18",2020-12-03,"20201204060000_rap_rcb_woj_eksport.csv",2020-12-04,NA
"podlaskie",373,3.17,11,1,10,478,7842,1281,426,834,21,"t20",2020-12-03,"20201204060000_rap_rcb_woj_eksport.csv",2020-12-04,NA
"pomorskie",818,3.49,20,6,14,1272,20863,3720,879,2685,156,"t22",2020-12-03,"20201204060000_rap_rcb_woj_eksport.csv",2020-12-04,NA
"śląskie",1346,2.99,66,2,64,1823,27764,5945,1496,4321,128,"t24",2020-12-03,"20201204060000_rap_rcb_woj_eksport.csv",2020-12-04,NA
"świętokrzyskie",252,2.05,19,4,15,275,5766,1309,319,934,56,"t26",2020-12-03,"20201204060000_rap_rcb_woj_eksport.csv",2020-12-04,NA
"warmińsko-mazurskie",969,6.82,27,7,20,1128,17279,2801,1013,1728,60,"t28",2020-12-03,"20201204060000_rap_rcb_woj_eksport.csv",2020-12-04,NA
"wielkopolskie",1381,3.95,40,19,21,1785,32223,4565,1484,2994,87,"t30",2020-12-03,"20201204060000_rap_rcb_woj_eksport.csv",2020-12-04,NA
"zachodniopomorskie",998,5.89,28,1,27,1207,15863,2936,1071,1810,55,"t32",2020-12-03,"20201204060000_rap_rcb_woj_eksport.csv",2020-12-04,NA
"Cały kraj",12430,3.24,502,104,398,17804,275582,65627,14323,49585,1719,"t00",2020-12-04,"20201205060000_rap_rcb_woj_eksport.csv",2020-12-05,NA
"dolnośląskie",918,3.17,22,4,18,1179,21145,3966,1063,2814,89,"t02",2020-12-04,"20201205060000_rap_rcb_woj_eksport.csv",2020-12-05,NA
"kujawsko-pomorskie",1093,5.28,14,10,4,1535,19928,13265,1174,11939,152,"t04",2020-12-04,"20201205060000_rap_rcb_woj_eksport.csv",2020-12-05,NA
"lubelskie",732,3.48,48,14,34,960,15228,2720,799,1840,81,"t06",2020-12-04,"20201205060000_rap_rcb_woj_eksport.csv",2020-12-05,NA
"lubuskie",340,3.37,16,4,12,510,8817,1384,399,932,53,"t08",2020-12-04,"20201205060000_rap_rcb_woj_eksport.csv",2020-12-05,NA
"łódzkie",895,3.65,44,5,39,1221,17302,4115,999,3002,114,"t10",2020-12-04,"20201205060000_rap_rcb_woj_eksport.csv",2020-12-05,NA
"małopolskie",551,1.61,35,16,19,774,13536,4438,666,3644,128,"t12",2020-12-04,"20201205060000_rap_rcb_woj_eksport.csv",2020-12-05,NA
"mazowieckie",1579,2.91,45,5,40,2629,39807,10354,2038,7954,362,"t14",2020-12-04,"20201205060000_rap_rcb_woj_eksport.csv",2020-12-05,NA
"opolskie",359,3.66,23,1,22,468,7972,1263,425,816,22,"t16",2020-12-04,"20201205060000_rap_rcb_woj_eksport.csv",2020-12-05,NA
"podkarpackie",257,1.21,31,5,26,446,8868,1494,334,1143,17,"t18",2020-12-04,"20201205060000_rap_rcb_woj_eksport.csv",2020-12-05,NA
"podlaskie",285,2.42,24,3,21,525,7452,1228,307,910,11,"t20",2020-12-04,"20201205060000_rap_rcb_woj_eksport.csv",2020-12-05,NA
"pomorskie",970,4.13,45,8,37,1306,20098,4082,1042,2800,240,"t22",2020-12-04,"20201205060000_rap_rcb_woj_eksport.csv",2020-12-05,NA
"śląskie",1285,2.85,51,0,51,1744,25983,5462,1522,3813,127,"t24",2020-12-04,"20201205060000_rap_rcb_woj_eksport.csv",2020-12-05,NA
"świętokrzyskie",205,1.67,22,3,19,303,5440,1162,285,816,61,"t26",2020-12-04,"20201205060000_rap_rcb_woj_eksport.csv",2020-12-05,NA
"warmińsko-mazurskie",760,5.35,18,0,18,1166,16954,2493,782,1654,57,"t28",2020-12-04,"20201205060000_rap_rcb_woj_eksport.csv",2020-12-05,NA
"wielkopolskie",1194,3.41,44,26,18,1811,31272,4845,1365,3380,100,"t30",2020-12-04,"20201205060000_rap_rcb_woj_eksport.csv",2020-12-05,NA
"zachodniopomorskie",978,5.78,20,0,20,1227,15779,3114,1089,1928,97,"t32",2020-12-04,"20201205060000_rap_rcb_woj_eksport.csv",2020-12-05,NA
"Cały kraj",9175,2.39,228,42,186,441,254509,35869,10070,24633,1166,"t00",2020-12-05,"20201206060000_rap_rcb_woj_eksport.csv",2020-12-06,NA
"dolnośląskie",475,1.64,8,1,7,20,19393,2224,521,1635,68,"t02",2020-12-05,"20201206060000_rap_rcb_woj_eksport.csv",2020-12-06,NA
"kujawsko-pomorskie",722,3.49,11,3,8,109,18623,2154,754,1300,100,"t04",2020-12-05,"20201206060000_rap_rcb_woj_eksport.csv",2020-12-06,NA
"lubelskie",352,1.67,15,3,12,21,13860,1301,372,879,50,"t06",2020-12-05,"20201206060000_rap_rcb_woj_eksport.csv",2020-12-06,NA
"lubuskie",326,3.23,0,0,0,10,8389,1043,373,648,22,"t08",2020-12-05,"20201206060000_rap_rcb_woj_eksport.csv",2020-12-06,NA
"łódzkie",558,2.28,7,0,7,23,16203,2616,630,1919,67,"t10",2020-12-05,"20201206060000_rap_rcb_woj_eksport.csv",2020-12-06,NA
"małopolskie",382,1.12,12,10,2,16,11843,2445,455,1928,62,"t12",2020-12-05,"20201206060000_rap_rcb_woj_eksport.csv",2020-12-06,NA
"mazowieckie",1172,2.16,23,2,21,72,37096,5091,1317,3511,263,"t14",2020-12-05,"20201206060000_rap_rcb_woj_eksport.csv",2020-12-06,NA
"opolskie",309,3.15,8,1,7,7,7388,1034,348,667,19,"t16",2020-12-05,"20201206060000_rap_rcb_woj_eksport.csv",2020-12-06,NA
"podkarpackie",183,0.86,14,1,13,8,7910,1119,250,861,8,"t18",2020-12-05,"20201206060000_rap_rcb_woj_eksport.csv",2020-12-06,NA
"podlaskie",220,1.87,24,4,20,4,6724,809,237,561,11,"t20",2020-12-05,"20201206060000_rap_rcb_woj_eksport.csv",2020-12-06,NA
"pomorskie",877,3.74,19,4,15,28,18778,3251,934,2156,161,"t22",2020-12-05,"20201206060000_rap_rcb_woj_eksport.csv",2020-12-06,NA
"śląskie",905,2.01,23,4,19,29,23534,3215,960,2176,79,"t24",2020-12-05,"20201206060000_rap_rcb_woj_eksport.csv",2020-12-06,NA
"świętokrzyskie",190,1.54,11,2,9,7,4785,1032,249,715,68,"t26",2020-12-05,"20201206060000_rap_rcb_woj_eksport.csv",2020-12-06,NA
"warmińsko-mazurskie",695,4.89,11,1,10,9,16097,1631,721,862,48,"t28",2020-12-05,"20201206060000_rap_rcb_woj_eksport.csv",2020-12-06,NA
"wielkopolskie",1098,3.14,26,6,20,42,29193,3955,1178,2706,71,"t30",2020-12-05,"20201206060000_rap_rcb_woj_eksport.csv",2020-12-06,NA
"zachodniopomorskie",678,4,16,0,16,36,14693,2528,736,1729,63,"t32",2020-12-05,"20201206060000_rap_rcb_woj_eksport.csv",2020-12-06,NA
"Cały kraj",4424,1.15,92,10,82,331,234065,20824,5103,15058,663,"t00",2020-12-06,"20201207060000_rap_rcb_woj_eksport.csv",2020-12-07,NA
"dolnośląskie",288,0.99,2,1,1,11,17989,1244,318,891,35,"t02",2020-12-06,"20201207060000_rap_rcb_woj_eksport.csv",2020-12-07,NA
"kujawsko-pomorskie",350,1.69,6,1,5,54,17295,1242,371,811,60,"t04",2020-12-06,"20201207060000_rap_rcb_woj_eksport.csv",2020-12-07,NA
"lubelskie",178,0.85,7,3,4,12,12580,877,216,645,16,"t06",2020-12-06,"20201207060000_rap_rcb_woj_eksport.csv",2020-12-07,NA
"lubuskie",162,1.6,0,0,0,10,7652,611,178,416,17,"t08",2020-12-06,"20201207060000_rap_rcb_woj_eksport.csv",2020-12-07,NA
"łódzkie",238,0.97,8,1,7,17,15003,1152,258,859,35,"t10",2020-12-06,"20201207060000_rap_rcb_woj_eksport.csv",2020-12-07,NA
"małopolskie",213,0.62,0,0,0,9,10686,1620,270,1312,38,"t12",2020-12-06,"20201207060000_rap_rcb_woj_eksport.csv",2020-12-07,NA
"mazowieckie",618,1.14,18,1,17,49,34512,3701,774,2719,208,"t14",2020-12-06,"20201207060000_rap_rcb_woj_eksport.csv",2020-12-07,NA
"opolskie",197,2.01,1,0,1,13,6788,482,219,259,4,"t16",2020-12-06,"20201207060000_rap_rcb_woj_eksport.csv",2020-12-07,NA
"podkarpackie",153,0.72,3,0,3,2,7092,1039,198,826,15,"t18",2020-12-06,"20201207060000_rap_rcb_woj_eksport.csv",2020-12-07,NA
"podlaskie",154,1.31,5,0,5,3,6069,457,169,281,7,"t20",2020-12-06,"20201207060000_rap_rcb_woj_eksport.csv",2020-12-07,NA
"pomorskie",338,1.44,7,0,7,23,17459,1668,373,1245,50,"t22",2020-12-06,"20201207060000_rap_rcb_woj_eksport.csv",2020-12-07,NA
"śląskie",266,0.59,10,1,9,26,21131,1562,303,1215,44,"t24",2020-12-06,"20201207060000_rap_rcb_woj_eksport.csv",2020-12-07,NA
"świętokrzyskie",70,0.57,7,2,5,5,4264,634,134,458,42,"t26",2020-12-06,"20201207060000_rap_rcb_woj_eksport.csv",2020-12-07,NA
"warmińsko-mazurskie",222,1.56,4,0,4,20,15172,729,227,483,19,"t28",2020-12-06,"20201207060000_rap_rcb_woj_eksport.csv",2020-12-07,NA
"wielkopolskie",423,1.21,13,0,13,47,26606,1685,460,1205,20,"t30",2020-12-06,"20201207060000_rap_rcb_woj_eksport.csv",2020-12-07,NA
"zachodniopomorskie",529,3.12,1,0,1,30,13767,1738,609,1080,49,"t32",2020-12-06,"20201207060000_rap_rcb_woj_eksport.csv",2020-12-07,NA
"Cały kraj",8315,2.17,411,94,317,30246,231665,48586,10483,36901,1202,"t00",2020-12-07,"20201208060000_rap_rcb_woj_eksport.csv",2020-12-08,NA
"dolnośląskie",570,1.97,37,7,30,2253,17630,3098,714,2329,55,"t02",2020-12-07,"20201208060000_rap_rcb_woj_eksport.csv",2020-12-08,NA
"kujawsko-pomorskie",696,3.36,19,7,12,2580,17363,4498,877,3531,90,"t04",2020-12-07,"20201208060000_rap_rcb_woj_eksport.csv",2020-12-08,NA
"lubelskie",418,1.99,17,5,12,1576,12297,2528,513,1965,50,"t06",2020-12-07,"20201208060000_rap_rcb_woj_eksport.csv",2020-12-08,NA
"lubuskie",175,1.73,15,2,13,917,7643,1337,258,1041,38,"t08",2020-12-07,"20201208060000_rap_rcb_woj_eksport.csv",2020-12-08,NA
"łódzkie",565,2.31,35,11,24,1970,14866,3606,744,2755,107,"t10",2020-12-07,"20201208060000_rap_rcb_woj_eksport.csv",2020-12-08,NA
"małopolskie",1079,3.16,50,18,32,1271,10472,3601,1168,2333,100,"t12",2020-12-07,"20201208060000_rap_rcb_woj_eksport.csv",2020-12-08,NA
"mazowieckie",973,1.79,38,18,20,4016,34303,7317,1302,5813,202,"t14",2020-12-07,"20201208060000_rap_rcb_woj_eksport.csv",2020-12-08,NA
"opolskie",141,1.44,18,2,16,723,6527,976,184,769,23,"t16",2020-12-07,"20201208060000_rap_rcb_woj_eksport.csv",2020-12-08,NA
"podkarpackie",204,0.96,21,5,16,707,6756,2276,350,1892,34,"t18",2020-12-07,"20201208060000_rap_rcb_woj_eksport.csv",2020-12-08,NA
"podlaskie",196,1.67,2,0,2,853,6159,1125,244,872,9,"t20",2020-12-07,"20201208060000_rap_rcb_woj_eksport.csv",2020-12-08,NA
"pomorskie",523,2.23,23,4,19,2178,17349,2949,668,2139,142,"t22",2020-12-07,"20201208060000_rap_rcb_woj_eksport.csv",2020-12-08,NA
"śląskie",850,1.89,64,6,58,2995,21156,4583,995,3491,97,"t24",2020-12-07,"20201208060000_rap_rcb_woj_eksport.csv",2020-12-08,NA
"świętokrzyskie",191,1.55,8,0,8,481,4124,1438,288,1088,62,"t26",2020-12-07,"20201208060000_rap_rcb_woj_eksport.csv",2020-12-08,NA
"warmińsko-mazurskie",532,3.75,27,0,27,2039,14888,2376,665,1642,69,"t28",2020-12-07,"20201208060000_rap_rcb_woj_eksport.csv",2020-12-08,NA
"wielkopolskie",584,1.67,21,7,14,3432,26315,3400,774,2570,56,"t30",2020-12-07,"20201208060000_rap_rcb_woj_eksport.csv",2020-12-08,NA
"zachodniopomorskie",489,2.89,16,2,14,2253,13816,1940,597,1304,39,"t32",2020-12-07,"20201208060000_rap_rcb_woj_eksport.csv",2020-12-08,NA
"Cały kraj",12164,3.17,568,133,435,18088,225269,51537,13353,36964,1220,"t00",2020-12-08,"20201209060000_rap_rcb_woj_eksport.csv",2020-12-09,NA
"dolnośląskie",819,2.83,50,15,35,1346,17128,3881,899,2892,90,"t02",2020-12-08,"20201209060000_rap_rcb_woj_eksport.csv",2020-12-09,NA
"kujawsko-pomorskie",1113,5.38,28,4,24,1560,17179,4122,1168,2800,154,"t04",2020-12-08,"20201209060000_rap_rcb_woj_eksport.csv",2020-12-09,NA
"lubelskie",728,3.46,37,10,27,902,11874,2761,788,1920,53,"t06",2020-12-08,"20201209060000_rap_rcb_woj_eksport.csv",2020-12-09,NA
"lubuskie",348,3.44,16,6,10,518,7305,1237,370,843,24,"t08",2020-12-08,"20201209060000_rap_rcb_woj_eksport.csv",2020-12-09,NA
"łódzkie",822,3.36,64,5,59,1174,14378,3835,912,2826,97,"t10",2020-12-08,"20201209060000_rap_rcb_woj_eksport.csv",2020-12-09,NA
"małopolskie",566,1.66,40,16,24,796,10096,3382,607,2676,99,"t12",2020-12-08,"20201209060000_rap_rcb_woj_eksport.csv",2020-12-09,NA
"mazowieckie",1500,2.76,41,5,36,2723,33398,7233,1743,5298,192,"t14",2020-12-08,"20201209060000_rap_rcb_woj_eksport.csv",2020-12-09,NA
"opolskie",226,2.3,19,0,19,418,6140,1055,253,785,17,"t16",2020-12-08,"20201209060000_rap_rcb_woj_eksport.csv",2020-12-09,NA
"podkarpackie",254,1.19,33,7,26,421,6582,1789,317,1457,15,"t18",2020-12-08,"20201209060000_rap_rcb_woj_eksport.csv",2020-12-09,NA
"podlaskie",360,3.06,12,10,2,483,5990,1220,386,818,16,"t20",2020-12-08,"20201209060000_rap_rcb_woj_eksport.csv",2020-12-09,NA
"pomorskie",936,3.99,33,6,27,1398,17190,3473,1003,2326,144,"t22",2020-12-08,"20201209060000_rap_rcb_woj_eksport.csv",2020-12-09,NA
"śląskie",1471,3.26,64,3,61,1769,20844,5764,1602,4041,121,"t24",2020-12-08,"20201209060000_rap_rcb_woj_eksport.csv",2020-12-09,NA
"świętokrzyskie",181,1.47,18,4,14,277,4080,1302,203,1053,46,"t26",2020-12-08,"20201209060000_rap_rcb_woj_eksport.csv",2020-12-09,NA
"warmińsko-mazurskie",657,4.63,21,5,16,1082,14052,2201,694,1481,26,"t28",2020-12-08,"20201209060000_rap_rcb_woj_eksport.csv",2020-12-09,NA
"wielkopolskie",1204,3.44,57,33,24,1847,24999,4466,1320,3090,56,"t30",2020-12-08,"20201209060000_rap_rcb_woj_eksport.csv",2020-12-09,NA
"zachodniopomorskie",934,5.52,35,4,31,1374,14034,3032,1036,1930,66,"t32",2020-12-08,"20201209060000_rap_rcb_woj_eksport.csv",2020-12-09,NA
"Cały kraj",13747,3.58,470,113,357,17279,232242,55051,14880,38673,1498,"t00",2020-12-09,"20201210060000_rap_rcb_woj_eksport.csv",2020-12-10,NA
"dolnośląskie",986,3.4,24,7,17,1166,17264,4240,1084,3045,111,"t02",2020-12-09,"20201210060000_rap_rcb_woj_eksport.csv",2020-12-10,NA
"kujawsko-pomorskie",1406,6.79,35,3,32,1503,18074,4718,1466,3093,159,"t04",2020-12-09,"20201210060000_rap_rcb_woj_eksport.csv",2020-12-10,NA
"lubelskie",619,2.94,33,12,21,843,12203,2635,668,1914,53,"t06",2020-12-09,"20201210060000_rap_rcb_woj_eksport.csv",2020-12-10,NA
"lubuskie",468,4.63,17,12,5,481,7527,1489,527,924,38,"t08",2020-12-09,"20201210060000_rap_rcb_woj_eksport.csv",2020-12-10,NA
"łódzkie",867,3.54,67,13,54,1152,14752,3922,959,2839,124,"t10",2020-12-09,"20201210060000_rap_rcb_woj_eksport.csv",2020-12-10,NA
"małopolskie",491,1.44,27,11,16,739,10118,2958,537,2314,107,"t12",2020-12-09,"20201210060000_rap_rcb_woj_eksport.csv",2020-12-10,NA
"mazowieckie",1703,3.14,48,18,30,2583,34486,8053,1886,5867,300,"t14",2020-12-09,"20201210060000_rap_rcb_woj_eksport.csv",2020-12-10,NA
"opolskie",496,5.06,14,1,13,340,6331,1403,519,856,28,"t16",2020-12-09,"20201210060000_rap_rcb_woj_eksport.csv",2020-12-10,NA
"podkarpackie",403,1.9,33,8,25,408,6743,2050,453,1586,11,"t18",2020-12-09,"20201210060000_rap_rcb_woj_eksport.csv",2020-12-10,NA
"podlaskie",367,3.12,5,2,3,430,6513,1342,403,919,20,"t20",2020-12-09,"20201210060000_rap_rcb_woj_eksport.csv",2020-12-10,NA
"pomorskie",891,3.8,19,5,14,1330,17800,3638,976,2515,147,"t22",2020-12-09,"20201210060000_rap_rcb_woj_eksport.csv",2020-12-10,NA
"śląskie",1253,2.78,47,1,46,1725,21438,5339,1352,3877,110,"t24",2020-12-09,"20201210060000_rap_rcb_woj_eksport.csv",2020-12-10,NA
"świętokrzyskie",218,1.77,14,0,14,260,4089,1315,262,1003,50,"t26",2020-12-09,"20201210060000_rap_rcb_woj_eksport.csv",2020-12-10,NA
"warmińsko-mazurskie",898,6.32,30,2,28,1057,14739,2614,935,1599,80,"t28",2020-12-09,"20201210060000_rap_rcb_woj_eksport.csv",2020-12-10,NA
"wielkopolskie",1674,4.78,49,18,31,1900,25580,5445,1767,3591,87,"t30",2020-12-09,"20201210060000_rap_rcb_woj_eksport.csv",2020-12-10,NA
"zachodniopomorskie",961,5.68,8,0,8,1359,14585,2957,1025,1867,65,"t32",2020-12-09,"20201210060000_rap_rcb_woj_eksport.csv",2020-12-10,NA
"Cały kraj",13105,3.42,544,132,412,16962,235155,54978,14539,38840,1599,"t00",2020-12-10,"20201211060000_rap_rcb_woj_eksport.csv",2020-12-11,NA
"dolnośląskie",800,2.76,49,3,46,1085,17301,4080,923,3070,87,"t02",2020-12-10,"20201211060000_rap_rcb_woj_eksport.csv",2020-12-11,NA
"kujawsko-pomorskie",1012,4.89,52,16,36,1532,18348,3765,1075,2538,152,"t04",2020-12-10,"20201211060000_rap_rcb_woj_eksport.csv",2020-12-11,NA
"lubelskie",640,3.04,15,5,10,830,12130,2600,716,1859,25,"t06",2020-12-10,"20201211060000_rap_rcb_woj_eksport.csv",2020-12-11,NA
"lubuskie",443,4.39,18,11,7,504,7619,1591,498,1058,35,"t08",2020-12-10,"20201211060000_rap_rcb_woj_eksport.csv",2020-12-11,NA
"łódzkie",846,3.45,41,10,31,1098,14992,3533,927,2466,140,"t10",2020-12-10,"20201211060000_rap_rcb_woj_eksport.csv",2020-12-11,NA
"małopolskie",474,1.39,27,14,13,727,10207,2419,507,1842,70,"t12",2020-12-10,"20201211060000_rap_rcb_woj_eksport.csv",2020-12-11,NA
"mazowieckie",1728,3.18,58,11,47,2678,35040,9376,2047,6924,405,"t14",2020-12-10,"20201211060000_rap_rcb_woj_eksport.csv",2020-12-11,NA
"opolskie",340,3.47,13,1,12,348,6304,1187,368,800,19,"t16",2020-12-10,"20201211060000_rap_rcb_woj_eksport.csv",2020-12-11,NA
"podkarpackie",261,1.23,36,8,28,382,6847,1850,369,1454,27,"t18",2020-12-10,"20201211060000_rap_rcb_woj_eksport.csv",2020-12-11,NA
"podlaskie",312,2.65,40,17,23,436,6619,1392,363,1012,17,"t20",2020-12-10,"20201211060000_rap_rcb_woj_eksport.csv",2020-12-11,NA
"pomorskie",1148,4.89,22,4,18,1324,18075,4039,1229,2653,157,"t22",2020-12-10,"20201211060000_rap_rcb_woj_eksport.csv",2020-12-11,NA
"śląskie",1090,2.42,68,5,63,1538,21142,4994,1185,3714,95,"t24",2020-12-10,"20201211060000_rap_rcb_woj_eksport.csv",2020-12-11,NA
"świętokrzyskie",219,1.78,9,0,9,248,4005,1351,270,1014,67,"t26",2020-12-10,"20201211060000_rap_rcb_woj_eksport.csv",2020-12-11,NA
"warmińsko-mazurskie",1201,8.45,17,0,17,1115,15315,3289,1247,1922,120,"t28",2020-12-10,"20201211060000_rap_rcb_woj_eksport.csv",2020-12-11,NA
"wielkopolskie",1412,4.03,49,25,24,1831,26163,4999,1521,3387,91,"t30",2020-12-10,"20201211060000_rap_rcb_woj_eksport.csv",2020-12-11,NA
"zachodniopomorskie",1120,6.61,30,2,28,1283,15047,3269,1225,1972,72,"t32",2020-12-10,"20201211060000_rap_rcb_woj_eksport.csv",2020-12-11,NA
"Cały kraj",11498,3,502,131,371,17178,227813,54829,13233,40286,1310,"t00",2020-12-11,"20201212060000_rap_rcb_woj_eksport.csv",2020-12-12,NA
"dolnośląskie",703,2.43,34,6,28,1062,16879,3691,789,2831,71,"t02",2020-12-11,"20201212060000_rap_rcb_woj_eksport.csv",2020-12-12,NA
"kujawsko-pomorskie",1093,5.28,47,11,36,1607,17876,5104,1212,3753,139,"t04",2020-12-11,"20201212060000_rap_rcb_woj_eksport.csv",2020-12-12,NA
"lubelskie",750,3.57,23,5,18,837,11762,2930,837,2045,48,"t06",2020-12-11,"20201212060000_rap_rcb_woj_eksport.csv",2020-12-12,NA
"lubuskie",371,3.67,12,6,6,541,7409,1592,486,1076,30,"t08",2020-12-11,"20201212060000_rap_rcb_woj_eksport.csv",2020-12-12,NA
"łódzkie",695,2.84,35,8,27,1135,14369,3358,777,2499,82,"t10",2020-12-11,"20201212060000_rap_rcb_woj_eksport.csv",2020-12-12,NA
"małopolskie",411,1.2,22,7,15,747,9844,2417,455,1880,82,"t12",2020-12-11,"20201212060000_rap_rcb_woj_eksport.csv",2020-12-12,NA
"mazowieckie",1529,2.82,75,27,48,2540,34180,8933,1919,6708,306,"t14",2020-12-11,"20201212060000_rap_rcb_woj_eksport.csv",2020-12-12,NA
"opolskie",316,3.22,8,2,6,352,6152,1318,345,948,25,"t16",2020-12-11,"20201212060000_rap_rcb_woj_eksport.csv",2020-12-12,NA
"podkarpackie",525,2.47,23,4,19,438,6581,2368,666,1679,23,"t18",2020-12-11,"20201212060000_rap_rcb_woj_eksport.csv",2020-12-12,NA
"podlaskie",358,3.04,13,6,7,464,6391,1496,397,1086,13,"t20",2020-12-11,"20201212060000_rap_rcb_woj_eksport.csv",2020-12-12,NA
"pomorskie",753,3.21,32,7,25,1321,17843,3543,810,2633,100,"t22",2020-12-11,"20201212060000_rap_rcb_woj_eksport.csv",2020-12-12,NA
"śląskie",995,2.21,62,8,54,1660,19782,4905,1090,3731,84,"t24",2020-12-11,"20201212060000_rap_rcb_woj_eksport.csv",2020-12-12,NA
"świętokrzyskie",188,1.53,15,2,13,278,3766,1698,280,1336,82,"t26",2020-12-11,"20201212060000_rap_rcb_woj_eksport.csv",2020-12-12,NA
"warmińsko-mazurskie",742,5.22,26,5,21,1064,14729,2598,780,1761,57,"t28",2020-12-11,"20201212060000_rap_rcb_woj_eksport.csv",2020-12-12,NA
"wielkopolskie",1039,2.97,58,27,31,1827,25283,4172,1164,2928,80,"t30",2020-12-11,"20201212060000_rap_rcb_woj_eksport.csv",2020-12-12,NA
"zachodniopomorskie",976,5.76,17,0,17,1303,14966,3334,1155,2106,73,"t32",2020-12-11,"20201212060000_rap_rcb_woj_eksport.csv",2020-12-12,NA
"Cały kraj",8978,2.34,188,49,139,407,210836,37081,10132,25981,968,"t00",2020-12-12,"20201213060000_rap_rcb_woj_eksport.csv",2020-12-13,NA
"dolnośląskie",507,1.75,1,1,0,27,15375,2322,569,1699,54,"t02",2020-12-12,"20201213060000_rap_rcb_woj_eksport.csv",2020-12-13,NA
"kujawsko-pomorskie",768,3.71,18,4,14,101,16568,2538,818,1642,78,"t04",2020-12-12,"20201213060000_rap_rcb_woj_eksport.csv",2020-12-13,NA
"lubelskie",378,1.8,14,1,13,17,10609,1335,405,899,31,"t06",2020-12-12,"20201213060000_rap_rcb_woj_eksport.csv",2020-12-13,NA
"lubuskie",302,2.99,0,0,0,7,6866,996,371,600,25,"t08",2020-12-12,"20201213060000_rap_rcb_woj_eksport.csv",2020-12-13,NA
"łódzkie",576,2.35,1,0,1,15,13232,2422,625,1725,72,"t10",2020-12-12,"20201213060000_rap_rcb_woj_eksport.csv",2020-12-13,NA
"małopolskie",316,0.93,19,2,17,11,8749,2032,351,1621,60,"t12",2020-12-12,"20201213060000_rap_rcb_woj_eksport.csv",2020-12-13,NA
"mazowieckie",1286,2.37,24,14,10,60,32045,6124,1473,4451,200,"t14",2020-12-12,"20201213060000_rap_rcb_woj_eksport.csv",2020-12-13,NA
"opolskie",131,1.34,0,0,0,2,5510,642,146,488,8,"t16",2020-12-12,"20201213060000_rap_rcb_woj_eksport.csv",2020-12-13,NA
"podkarpackie",205,0.96,5,3,2,8,6007,1476,384,1063,29,"t18",2020-12-12,"20201213060000_rap_rcb_woj_eksport.csv",2020-12-13,NA
"podlaskie",233,1.98,8,2,6,5,5816,837,265,563,9,"t20",2020-12-12,"20201213060000_rap_rcb_woj_eksport.csv",2020-12-13,NA
"pomorskie",1013,4.32,3,0,3,22,17236,3634,1069,2457,108,"t22",2020-12-12,"20201213060000_rap_rcb_woj_eksport.csv",2020-12-13,NA
"śląskie",669,1.48,17,3,14,30,17810,2769,719,1984,66,"t24",2020-12-12,"20201213060000_rap_rcb_woj_eksport.csv",2020-12-13,NA
"świętokrzyskie",134,1.09,1,0,1,5,3471,1070,224,807,39,"t26",2020-12-12,"20201213060000_rap_rcb_woj_eksport.csv",2020-12-13,NA
"warmińsko-mazurskie",650,4.58,30,6,24,11,13627,1956,667,1226,63,"t28",2020-12-12,"20201213060000_rap_rcb_woj_eksport.csv",2020-12-13,NA
